variable,target,spearman,p_value
files_changed,status,0.10515617330265924,1.1308408335725722e-10
lines_changed,status,0.014970501926531234,0.3599191149550405
analysis_time_hours,status,-0.39131691155583614,3.4726206544347218e-137
description_length,status,-0.04010210854037426,0.014155657235589359
comment_count,status,-0.1367121382750337,4.479626797498403e-17
participants,status,-0.07654349292986112,2.7639561873979633e-06
files_changed,review_count,0.31744857139192967,2.2279089307621217e-88
lines_changed,review_count,0.3245771829355447,1.5641647173440236e-92
analysis_time_hours,review_count,0.07067873694867338,1.5079772989670964e-05
description_length,review_count,0.1775398129895556,7.110311286676115e-28
comment_count,review_count,0.33413870038256466,2.780508579220642e-98
participants,review_count,0.3624814153551778,1.4297242336845506e-116
