status,metric,median
MERGED,files_changed,2.0
MERGED,additions,18.0
MERGED,deletions,4.0
MERGED,lines_changed,29.0
MERGED,description_length,454.0
MERGED,review_count,1.0
MERGED,comment_count,1.0
MERGED,participants,3.0
MERGED,analysis_time_hours,48.009166666666665
CLOSED,files_changed,1.0
CLOSED,additions,21.0
CLOSED,deletions,1.0
CLOSED,lines_changed,30.0
CLOSED,description_length,548.0
CLOSED,review_count,1.0
CLOSED,comment_count,2.0
CLOSED,participants,3.0
CLOSED,analysis_time_hours,864.0483333333333
