repo,status,files_changed,additions,deletions,lines_changed,description_length,review_count,comment_count,participants,analysis_time_hours
freeCodeCamp/freeCodeCamp,MERGED,6,18,28,46,796,1,0,1,45.84
freeCodeCamp/freeCodeCamp,MERGED,2,26,26,52,1446,3,0,1,13.776944444444444
freeCodeCamp/freeCodeCamp,MERGED,2,4,1,5,432,1,0,2,38.04
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,2,286,2,1,2,24.849722222222223
freeCodeCamp/freeCodeCamp,MERGED,1,2,2,4,359,1,0,2,1.9783333333333333
freeCodeCamp/freeCodeCamp,MERGED,9,21,21,42,286,1,0,2,18.727777777777774
freeCodeCamp/freeCodeCamp,MERGED,2,30,1,31,1022,1,0,2,3.889166666666666
freeCodeCamp/freeCodeCamp,MERGED,2,10,10,20,1585,3,1,1,1.1397222222222223
freeCodeCamp/freeCodeCamp,MERGED,2,198,198,396,2018,3,1,1,1.137222222222222
freeCodeCamp/freeCodeCamp,MERGED,2,9,9,18,617,3,0,1,4.2175
freeCodeCamp/freeCodeCamp,MERGED,10,93,97,190,887,3,1,2,16.890555555555554
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,2,345,1,1,3,115.39166666666668
freeCodeCamp/freeCodeCamp,MERGED,11,288,38,326,45,1,0,2,8.7
freeCodeCamp/freeCodeCamp,MERGED,3,18,17,35,753,3,2,3,4.138333333333334
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,2,47,1,0,2,2.668333333333333
freeCodeCamp/freeCodeCamp,MERGED,33,2722,1,2723,286,2,0,3,44.401944444444446
freeCodeCamp/freeCodeCamp,MERGED,1,1,20,21,270,1,0,2,4.497777777777777
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,2,270,1,0,2,9.563611111111111
freeCodeCamp/freeCodeCamp,MERGED,2,15,15,30,2196,3,0,1,9.048333333333334
freeCodeCamp/freeCodeCamp,MERGED,2,10,10,20,3016,3,1,1,11.105277777777776
sindresorhus/awesome,CLOSED,1,1,0,1,7028,2,11,10,923.3030555555556
sindresorhus/awesome,CLOSED,1,1,0,1,764,3,10,7,1435.9283333333333
sindresorhus/awesome,CLOSED,1,1,0,1,3740,4,10,9,2661.4466666666667
sindresorhus/awesome,CLOSED,1,1,0,1,7147,1,3,4,1102.6869444444444
sindresorhus/awesome,CLOSED,3,3,1,4,7301,2,17,5,19613.494444444445
sindresorhus/awesome,CLOSED,1,1,0,1,8947,1,12,5,176.74527777777777
sindresorhus/awesome,CLOSED,1,1,0,1,2835,3,7,6,351.5230555555556
sindresorhus/awesome,CLOSED,1,1,0,1,7389,1,5,4,514.0461111111111
sindresorhus/awesome,CLOSED,1,1,0,1,1464,2,1,5,5.734166666666667
sindresorhus/awesome,CLOSED,1,1,0,1,3280,3,4,6,317.5080555555556
sindresorhus/awesome,CLOSED,1,1,0,1,927,2,5,6,188.7513888888889
sindresorhus/awesome,CLOSED,1,1,1,2,2967,2,3,5,350.12055555555554
sindresorhus/awesome,CLOSED,1,1,0,1,753,2,5,7,482.4036111111111
sindresorhus/awesome,CLOSED,1,1,0,1,1272,3,4,4,879.2544444444444
sindresorhus/awesome,CLOSED,1,2,0,2,1411,1,8,8,897.8080555555556
sindresorhus/awesome,CLOSED,1,1,1,2,6752,2,5,5,846.0083333333333
sindresorhus/awesome,CLOSED,1,1,0,1,7307,3,11,11,7713.429166666667
sindresorhus/awesome,CLOSED,1,1,0,1,7173,4,7,9,3553.855833333333
sindresorhus/awesome,CLOSED,1,1,0,1,7344,8,5,11,3045.3083333333334
sindresorhus/awesome,CLOSED,1,1,0,1,67,1,4,5,577.8983333333333
codecrafters-io/build-your-own-x,CLOSED,1,1,0,1,79,1,0,2,5928.261666666666
codecrafters-io/build-your-own-x,CLOSED,1,1,0,1,411,1,1,3,484.38666666666666
codecrafters-io/build-your-own-x,CLOSED,8,446,0,446,11,1,1,2,198.91027777777776
codecrafters-io/build-your-own-x,MERGED,1,0,1,1,140,1,2,3,7893.999166666666
codecrafters-io/build-your-own-x,CLOSED,1,1,0,1,72,1,6,3,30912.194166666668
codecrafters-io/build-your-own-x,MERGED,1,2,1,3,11,1,1,3,4482.398888888889
codecrafters-io/build-your-own-x,MERGED,1,3,0,3,404,1,2,2,8283.408333333333
codecrafters-io/build-your-own-x,MERGED,1,1,0,1,278,2,2,2,8055.775833333333
codecrafters-io/build-your-own-x,MERGED,1,5,0,5,1250,1,9,3,7219.118333333333
codecrafters-io/build-your-own-x,MERGED,1,6,0,6,68,1,2,2,5530.331111111111
codecrafters-io/build-your-own-x,CLOSED,4,119,425,544,436,1,1,3,2179.6286111111112
codecrafters-io/build-your-own-x,MERGED,1,2,1,3,0,1,1,3,34.995555555555555
codecrafters-io/build-your-own-x,CLOSED,1,1,0,1,58,1,0,2,22678.33638888889
codecrafters-io/build-your-own-x,CLOSED,1,9,8,17,584,1,3,2,755.9930555555555
codecrafters-io/build-your-own-x,CLOSED,1,0,5,5,138,1,4,3,24.761388888888888
codecrafters-io/build-your-own-x,CLOSED,0,0,0,0,206,1,0,2,53080.57166666666
codecrafters-io/build-your-own-x,CLOSED,2,117,0,117,0,1,4,4,93.49138888888888
codecrafters-io/build-your-own-x,CLOSED,1,131,23,154,206,1,0,2,32381.1275
